       ID,grpID, flag ,       ra ,      dec ,   MagK ,     Ks ,    logK ,  Vls ,  dist , mDist , R_theta , sigmaP_dyn , sigmaP_lum ,Mv_dyn,Mv_lum,Rg_angular,Rg_dyn,R2t_dyn,R2t_lum,r2t_lum,tX_dyn,tX_lum,No_Galaxies,nest
  1007623 ,  4862 ,    0 , 240.0032 , -31.2797 , -23.06 ,   6.53 , 10.5345 ,  665 ,  8.25 ,  8.25 , 0.00000 ,        0.0 ,       87.3 , 0.00e+00 , 1.33e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.237 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007623
  1007635 ,  4877 ,    0 , 208.6621 ,  38.3879 , -22.71 ,   7.49 , 10.3951 ,  833 , 10.94 , 10.94 , 0.00000 ,        0.0 ,       78.3 , 0.00e+00 , 9.59e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.212 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007635
  1007644 ,  4891 ,    0 , 131.4732 , -25.2278 , -22.80 ,   9.01 , 10.4307 , 1633 , 22.93 , 22.93 , 0.00000 ,        0.0 ,       80.4 , 0.00e+00 , 1.04e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.218 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007644
  1007646 ,  4895 ,    0 ,  19.8443 , -45.3427 , -23.31 ,   8.43 , 10.6352 , 1485 , 22.24 , 22.24 , 0.00000 ,        0.0 ,       95.1 , 0.00e+00 , 1.72e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.258 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007646
  1007659 ,  4923 ,    0 , 223.0521 ,   6.9292 , -22.63 ,   9.08 , 10.3636 , 1491 , 21.92 , 21.92 , 0.00000 ,        0.0 ,       76.4 , 0.00e+00 , 8.94e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.207 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007659
  1007673 ,  4945 ,    0 , 211.6417 ,  28.1498 , -22.66 ,   8.00 , 10.3764 ,  723 , 13.58 , 13.58 , 0.00000 ,        0.0 ,       77.2 , 0.00e+00 , 9.19e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.209 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007673
  1007681 ,  4959 ,    0 , 245.0567 , -66.3385 , -22.73 ,   9.11 , 10.4023 , 1553 , 23.27 , 23.27 , 0.00000 ,        0.0 ,       78.7 , 0.00e+00 , 9.75e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.213 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007681
  1007744 ,  5061 ,    0 , 149.3714 , -16.5939 , -22.51 ,   8.95 , 10.3142 , 1463 , 19.51 , 19.51 , 0.00000 ,        0.0 ,       73.8 , 0.00e+00 , 8.02e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.200 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007744
  1007748 ,  5070 ,    0 ,  32.3407 ,   0.0004 , -21.86 ,  10.01 , 10.0574 , 1711 , 23.71 , 23.71 , 0.00000 ,        0.0 ,       62.2 , 0.00e+00 , 4.81e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.168 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007748
  1007749 ,  5071 ,    0 ,  46.2607 , -62.4224 , -22.20 ,   9.70 , 10.1930 , 1675 , 24.03 , 24.03 , 0.00000 ,        0.0 ,       67.8 , 0.00e+00 , 6.24e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.184 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007749
