"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
12691,ESO357-025,50.9052,-35.7784,237.5407,-56.6373,8.84,1780,1647,19.68,13,12651,13418,13,1669,1532,13.562,13.217,-1.91,-15.16,-12.40
12701,ESO548-005,50.9459,-19.7533,209.2865,-54.4277,9.14,1839,1768,0.00,0,12701,13418,1,1839,1768,11.079,,4.26,-17.62,-15.07
12706,ESO301-011,50.9759,-37.5101,240.6570,-56.4168,9.34,1396,1257,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-2.29,-13.82,-11.27
12709,NGC1326,50.9850,-36.4645,238.7729,-56.5175,10.89,1266,1131,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-1.94,-13.70,-11.21
12719,UGC02716,51.0311,17.7535,166.7782,-31.8242,8.28,381,468,0.00,0,12719,12719,2,366,453,10.675,10.373,4.49,-2.90,-2.86
12737,NGC1325,51.1067,-21.5439,212.3081,-54.8415,10.37,1548,1470,23.01,14,12838,13418,19,1563,1482,13.064,13.207,3.44,-17.29,-14.79
12748,ESO548-009,51.1587,-19.2978,208.6672,-54.0860,8.49,1886,1816,0.00,0,12748,13505,1,1886,1816,10.749,,4.55,-18.01,-15.53
12754,NGC1325A,51.2019,-21.3361,212.0088,-54.6958,9.74,1315,1237,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.15,-15.44,-13.26
12755,NGC1321,51.2024,-3.0156,186.3252,-46.1412,10.43,2848,2847,0.00,0,12756,12756,2,2844,2843,12.525,8.568,17.25,-24.99,-22.70
12756,NGC1320,51.2030,-3.0422,186.3563,-46.1568,10.70,2839,2838,0.00,0,12756,12756,2,2844,2843,12.525,8.568,17.23,-24.99,-22.70
12758,PGC012758,51.2186,-35.4355,236.8899,-56.4058,8.58,1318,1185,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.64,-13.71,-11.32
12762,ESO548-011,51.2306,-21.7835,212.7638,-54.8003,8.50,1454,1374,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.02,-15.60,-13.39
12769,NGC1316C,51.2436,-37.0096,239.7175,-56.2594,9.49,2000,1862,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-2.23,-14.40,-11.85
12778,PGC012778,51.3004,-16.1641,203.8674,-52.7939,8.59,1867,1810,0.00,0,12798,13505,2,1870,1813,11.358,8.522,6.22,-18.86,-16.49
12783,NGC1326A,51.2868,-36.3631,238.5524,-56.2844,9.19,1836,1700,16.00,9,13418,13418,120,1502,1360,13.869,13.902,-1.72,-12.27,-10.12
12788,NGC1326B,51.3339,-36.3868,238.5892,-56.2446,9.33,1004,868,12.71,25,13418,13418,120,1502,1360,13.869,13.902,-1.89,-13.36,-11.04
12798,PGC012798,51.3537,-16.2331,204.0059,-52.7750,9.57,1873,1816,25.82,14,12798,13505,2,1870,1813,11.358,8.522,6.19,-18.86,-16.51
12807,IC1933,51.4161,-52.7855,265.5352,-51.6332,9.14,1061,872,16.90,14,12807,13418,1,1061,872,11.079,,-6.48,-12.26,-9.66
12825,IC1919,51.5094,-32.8944,232.2979,-56.2288,9.25,1281,1157,19.59,13,12923,13418,9,1238,1117,12.427,12.769,-0.94,-14.99,-12.58
12827,ESO548-016,51.5100,-21.3402,212.1616,-54.4229,9.68,2162,2083,0.00,0,12827,13505,1,2162,2083,11.407,,4.24,-20.74,-17.98
12828,UGC02731,51.5022,42.0246,151.2642,-12.1882,9.00,969,1142,0.00,0,12828,12828,1,969,1142,11.004,,14.45,-2.80,-3.91
12838,NGC1332,51.5716,-21.3353,212.1827,-54.3665,11.06,1570,1491,24.55,11,12838,13418,19,1563,1482,13.064,13.207,3.75,-18.31,-15.92
12846,NGC1331,51.6180,-21.3556,212.2378,-54.3312,9.56,1201,1122,19.95,11,12838,13418,19,1563,1482,13.064,13.207,3.04,-14.87,-12.95
12848,NGC1336,51.6342,-35.7137,237.3523,-56.0514,9.80,1470,1335,18.71,11,13418,13418,120,1502,1360,13.869,13.902,-1.81,-14.29,-11.94
12868,PGC012868,51.7482,72.8521,133.9005,13.3836,9.06,2075,2313,22.08,18,12868,12868,1,2075,2313,11.037,,21.44,4.94,1.85
12876,UGC02729,51.7353,68.5812,136.3849,9.8734,10.30,1940,2173,22.70,25,13121,13121,2,1810,2041,12.580,12.538,21.79,3.73,0.79
12877,ESO358-005,51.8188,-33.4858,233.3598,-55.9719,9.52,1632,1505,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.07,-13.94,-11.78
12878,ESO358-006,51.8252,-34.5264,235.2184,-55.9499,9.53,1244,1113,20.70,13,13418,13418,120,1502,1360,13.869,13.902,-1.58,-15.78,-13.30
12889,ESO548-021,51.8980,-21.2282,212.1621,-54.0443,8.81,1663,1583,22.49,14,12838,13418,19,1563,1482,13.064,13.207,3.46,-16.69,-14.67
12895,ESO548-022,51.9255,-21.6993,212.9430,-54.1576,8.67,1295,1213,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.00,-15.28,-13.42
12911,NGC1341,51.9933,-37.1501,239.8629,-55.6505,9.85,1885,1744,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-2.27,-14.14,-11.88
12916,NGC1337,52.0251,-8.3884,193.5410,-48.5182,9.89,1242,1216,14.19,14,12916,12916,1,1242,1216,11.551,,5.23,-9.71,-8.93
12917,NGC1339,52.0273,-32.2861,231.2255,-55.7803,10.15,1279,1156,20.42,11,12923,13418,9,1238,1117,12.427,12.769,-0.77,-15.52,-13.25
12922,ESO548-023,52.0605,-17.4197,206.2438,-52.6136,9.45,1883,1818,0.00,0,12922,13166,1,1883,1818,11.258,,5.30,-17.63,-15.77
12923,NGC1340,52.0818,-31.0681,229.0686,-55.6782,10.64,1106,987,18.62,11,12923,13418,9,1238,1117,12.427,12.769,-0.31,-14.13,-12.12
12952,NGC1351A,52.2032,-35.1782,236.3571,-55.6165,9.57,1336,1202,20.23,14,13418,13418,120,1502,1360,13.869,13.902,-1.79,-15.35,-13.05
12956,NGC1338,52.2274,-12.1533,198.7023,-50.2298,10.25,2461,2418,0.00,0,12956,12956,1,2461,2418,11.846,,9.89,-22.64,-20.71
12961,ESO548-025,52.2529,-22.1466,213.8205,-53.9925,9.39,1792,1708,0.00,0,12838,13418,19,1563,1482,13.064,13.207,2.92,-15.73,-13.94
12962,ESO481-029,52.2603,-26.4453,221.0306,-54.9670,9.43,1778,1676,0.00,0,12962,13418,1,1778,1676,11.243,,1.42,-16.78,-14.69
12979,NGC1345,52.3820,-17.7784,206.9788,-52.4628,9.27,1556,1489,0.00,0,13029,13418,2,1533,1465,11.393,10.771,4.15,-14.19,-12.81
12981,PGC012981,52.3892,-15.2381,203.1916,-51.4583,9.28,1890,1833,0.00,0,12981,13166,1,1890,1833,11.155,,6.24,-17.47,-15.91
12986,ESO481-030,52.4083,-23.3509,215.8652,-54.1721,9.06,1640,1550,0.00,0,12986,13418,1,1640,1550,11.037,,2.41,-15.35,-13.63
12989,NGC1347,52.4241,-22.2792,214.1114,-53.8768,9.29,1776,1690,0.00,0,12838,13418,19,1563,1482,13.064,13.207,2.86,-15.68,-13.97
12990,ESO358-010,52.4286,-33.5578,233.4869,-55.4635,8.46,1751,1622,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.12,-13.95,-12.00
13028,NGC1351,52.6457,-34.8540,235.7631,-55.2658,10.28,1510,1376,19.23,11,13418,13418,120,1502,1360,13.869,13.902,-1.60,-14.51,-12.51
13029,ESO548-028,52.6500,-17.9409,207.3797,-52.2851,9.44,1510,1441,0.00,0,13029,13418,2,1533,1465,11.393,10.771,4.08,-14.10,-12.84
13036,PGC013036,52.6651,-54.5752,267.5338,-50.1630,9.21,1976,1780,0.00,0,13036,13036,1,1976,1780,11.121,,-9.81,-16.83,-13.55
13042,ESO548-029,52.6965,-21.0582,212.2645,-53.2828,9.42,1354,1272,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.21,-15.13,-13.66
13058,PGC013058,52.7844,-36.2901,238.2660,-55.0864,9.10,1804,1664,19.23,13,13418,13418,120,1502,1360,13.869,13.902,-2.08,-14.48,-12.48
13059,NGC1350,52.7837,-33.6284,233.6122,-55.1679,10.82,1918,1788,19.05,14,13418,13418,120,1502,1360,13.869,13.902,-1.18,-14.35,-12.47
13084,PGC013084,52.8534,-35.3311,236.5878,-55.0798,9.24,1286,1149,19.59,13,13418,13418,120,1502,1360,13.869,13.902,-1.80,-14.75,-12.77
13089,ESO418-008,52.8775,-30.2132,227.6614,-54.9310,8.88,1139,1021,20.99,14,13089,13418,1,1139,1021,10.945,,-0.06,-15.75,-13.88
13090,IC1954,52.8809,-51.9049,263.6451,-51.2013,9.84,1064,875,13.87,14,13090,14391,2,1047,858,11.521,10.696,-5.14,-9.97,-8.15
13092,ESO301-018,52.8865,-38.0612,241.3287,-54.8548,8.38,1675,1528,0.00,0,12651,13418,13,1669,1532,13.562,13.217,-2.55,-13.77,-11.83
13097,PGC013097,52.9485,-35.0519,236.0959,-55.0118,9.37,1661,1525,20.42,13,13418,13418,120,1502,1360,13.869,13.902,-1.78,-15.35,-13.34
13106,ESO418-009,52.9819,-31.3383,229.6258,-54.9263,9.37,964,841,0.00,0,12923,13418,9,1238,1117,12.427,12.769,-0.43,-14.34,-12.63
13108,NGC1353,53.0125,-20.8189,212.0339,-52.9290,10.63,1545,1463,25.82,14,12838,13418,19,1563,1482,13.064,13.207,4.11,-18.82,-17.19
13115,UGC02773,53.0304,47.7941,148.8103,-6.8401,8.87,231,417,0.00,0,13115,13115,1,231,417,10.941,,5.41,-0.54,-1.16
13121,UGC02765,53.0140,68.3684,136.8988,9.9690,10.82,1679,1910,21.28,25,13121,13121,2,1810,2041,12.580,12.538,21.44,3.73,0.59
13122,ESO548-032,53.0810,-17.7190,207.2885,-51.8219,9.18,1952,1883,0.00,0,13122,13166,1,1952,1883,11.100,,5.33,-18.01,-16.66
13127,ESO482-003,53.1177,-23.3810,216.1915,-53.5493,8.92,1771,1679,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.34,-14.92,-13.55
13128,ESO548-033,53.1192,-18.9486,209.1768,-52.2260,9.63,1600,1526,0.00,0,13128,13418,1,1600,1526,11.369,,3.89,-14.68,-13.54
13130,NGC1354,53.1223,-15.2212,203.6352,-50.8077,10.41,1717,1658,0.00,0,13130,13166,1,1717,1658,11.992,,5.62,-15.62,-14.60
13146,PGC013146,53.1987,-34.2387,234.6744,-54.8219,9.03,2034,1900,19.68,13,13418,13418,120,1502,1360,13.869,13.902,-1.44,-14.75,-12.95
13150,ESO548-034,53.2400,-21.0895,212.5677,-52.8085,9.26,1680,1596,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.25,-15.33,-14.09
13154,ESO482-005,53.2589,-24.1329,217.4728,-53.6064,8.89,1916,1821,30.76,25,13434,13505,5,1691,1583,13.017,12.389,3.03,-21.86,-19.90
13156,PGC013156,53.2701,-1.9779,186.9119,-43.8669,9.17,2791,2787,0.00,0,13156,12756,1,2791,2787,11.093,,17.38,-23.35,-23.09
13157,ESO358-015,53.2781,-34.8070,235.6582,-54.7481,8.72,1390,1254,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.49,-13.44,-11.80
13161,ESO358-016,53.2888,-35.7191,237.2364,-54.7096,8.32,1699,1560,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.82,-13.74,-12.03
13163,IC1959,53.3026,-50.4143,261.2809,-51.5385,8.46,640,454,6.85,8,13163,13163,1,640,454,10.736,,-2.38,-4.94,-4.10
13166,NGC1357,53.3212,-13.6642,201.5562,-49.9684,10.70,1965,1912,0.00,0,13166,13166,1,1965,1912,12.312,,7.14,-17.78,-16.82
13171,IC1952,53.3613,-23.7128,216.8244,-53.4151,10.02,1852,1758,22.80,14,13419,13418,29,1681,1585,13.326,13.246,2.49,-16.73,-15.29
13172,ESO548-036,53.3653,-21.5647,213.3762,-52.8373,9.69,1518,1432,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.04,-15.17,-13.98
13177,PGC013177,53.3913,-33.5732,233.5219,-54.6615,9.51,1374,1242,20.14,13,13418,13418,120,1502,1360,13.869,13.902,-1.25,-15.05,-13.32
13179,NGC1365,53.4016,-36.1405,237.9564,-54.5979,11.19,1664,1523,16.98,8,13418,13418,120,1502,1360,13.869,13.902,-1.81,-12.69,-11.13
13184,IC1953,53.4245,-21.4786,213.2664,-52.7596,9.87,1867,1781,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.14,-15.49,-14.30
13185,PGC013185,53.3927,-36.6055,238.7583,-54.5780,8.40,887,745,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.98,-12.91,-11.30
13186,PGC013186,53.4309,-35.8592,237.4694,-54.5882,8.19,1540,1400,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.84,-13.56,-11.91
13188,PGC013188,53.4770,68.1106,137.1932,9.8605,9.53,1374,1604,0.00,0,13188,13121,2,1354,1583,11.378,10.288,20.82,3.59,0.46
13189,PGC013189,53.4601,68.3805,137.0269,10.0751,9.41,2969,3199,0.00,0,13189,2726819,1,2969,3199,11.233,,41.99,7.39,1.07
13190,NGC1359,53.4489,-19.4920,210.1823,-52.1169,9.31,1999,1921,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.10,-20.24,-18.83
13196,NGC1362,53.4712,-20.2825,211.4143,-52.3539,9.46,1161,1080,22.28,23,13265,13418,2,1115,1033,11.509,11.455,3.75,-16.14,-14.99
13197,NGC1366,53.4736,-31.1941,229.4243,-54.4975,10.06,1278,1155,19.23,11,13197,13418,1,1278,1155,11.685,,-0.40,-14.33,-12.82
13200,PGC013200,53.4555,-10.2508,197.0382,-48.2573,9.58,3234,3195,0.00,0,13200,13200,1,3234,3195,11.338,,14.32,-28.90,-27.83
13211,ESO548-043,53.5438,-19.5583,210.3324,-52.0545,9.33,1931,1853,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.05,-20.15,-18.81
13216,PGC013216,53.5645,-61.0947,275.6807,-46.4931,7.96,1162,949,0.00,0,13216,13216,1,1162,949,10.486,,-6.51,-8.48,-6.77
13220,ESO548-044,53.5802,-19.4244,210.1458,-51.9777,9.74,1551,1473,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.02,-19.76,-18.48
13230,PGC013230,53.6229,-35.5465,236.9202,-54.4451,9.11,1220,1080,18.79,13,13418,13418,120,1502,1360,13.869,13.902,-1.81,-14.01,-12.39
13235,ESO548-046,53.6587,-17.4761,207.2530,-51.2205,8.83,1625,1555,0.00,0,13235,13512,1,1625,1555,10.920,,4.47,-14.72,-13.90
13241,ESO548-047,53.6811,-19.0290,209.5952,-51.7544,10.00,1606,1529,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.21,-19.75,-18.55
13250,ESO358-020,53.7387,-32.6400,231.9265,-54.3489,8.89,1769,1639,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-0.86,-13.73,-12.31
13252,NGC1373,53.7467,-35.1711,236.2703,-54.3558,9.54,1353,1214,17.54,11,13418,13418,120,1502,1360,13.869,13.902,-1.58,-13.06,-11.61
13255,NGC1367,53.7553,-24.9332,218.9543,-53.3471,10.83,1405,1305,29.38,14,13419,13418,29,1681,1585,13.326,13.246,2.57,-21.52,-19.84
13256,ESO200-045,53.7563,-51.4559,262.6479,-50.8802,7.83,1031,841,0.00,0,13090,14391,2,1047,858,11.521,10.696,-5.05,-9.89,-8.27
13265,NGC1370,53.8109,-20.3737,211.7197,-52.0804,9.59,1069,986,0.00,0,13265,13418,2,1115,1033,11.509,11.455,3.68,-15.97,-15.00
13266,NGC1375,53.8201,-35.2656,236.4296,-54.2933,9.93,703,564,19.77,13,13418,13418,120,1502,1360,13.869,13.902,-1.82,-14.70,-13.09
13267,NGC1374,53.8191,-35.2263,236.3623,-54.2952,10.53,1475,1336,20.51,10,13418,13418,120,1502,1360,13.869,13.902,-1.87,-15.25,-13.58
13269,ESO358-022,53.8347,-32.6023,231.8671,-54.2667,9.59,1268,1138,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-0.82,-13.22,-11.89
13274,UGC02767,53.8887,80.0856,129.8178,19.4861,8.35,2211,2453,0.00,0,13274,13274,1,2211,2453,10.682,,30.57,10.40,5.23
13275,ESO548-049,53.8681,-21.2176,213.0568,-52.2878,8.94,1510,1424,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.15,-15.03,-14.09
13277,IC0335,53.8790,-34.4471,235.0265,-54.2588,10.14,1608,1471,18.37,11,13418,13418,120,1502,1360,13.869,13.902,-1.43,-13.65,-12.21
13281,ESO358-025,53.8879,-32.4649,231.6353,-54.2163,9.44,1431,1302,16.60,11,13281,13418,1,1431,1302,11.250,,-0.72,-12.32,-11.10
13283,IC1962,53.9061,-21.2917,213.1896,-52.2760,8.44,1792,1705,21.78,14,12838,13418,19,1563,1482,13.064,13.207,3.26,-15.70,-14.74
13294,PGC013294,53.9868,-45.1913,252.9614,-52.7451,7.05,744,572,7.28,9,13294,13294,1,744,572,10.029,,-1.90,-5.32,-4.59
13299,NGC1379,54.0159,-35.4412,236.7220,-54.1287,10.50,1363,1223,17.70,11,13418,13418,120,1502,1360,13.869,13.902,-1.69,-13.13,-11.75
13301,UGC02789,54.0566,67.5646,137.6996,9.5494,11.07,3135,3363,26.79,18,13301,2797282,1,3135,3363,12.736,,26.42,4.43,0.34
13304,ESO482-011,54.0725,-25.6047,220.1531,-53.2082,9.34,1608,1504,14.39,25,13419,13418,29,1681,1585,13.326,13.246,1.51,-14.66,-13.62
13308,PGC013308,54.0889,-6.7156,193.0660,-45.8953,9.52,3082,3055,0.00,0,13308,13308,1,3082,3055,11.303,,15.97,-26.50,-26.50
13318,NGC1380,54.1149,-34.9761,235.9261,-54.0585,11.05,1855,1716,18.62,7,13418,13418,120,1502,1360,13.869,13.902,-1.63,-13.79,-12.40
13321,NGC1381,54.1322,-35.2952,236.4690,-54.0379,10.44,1729,1589,21.78,13,13418,13418,120,1502,1360,13.869,13.902,-2.02,-16.13,-14.49
13322,IC1970,54.1314,-43.9569,250.9365,-52.9418,9.91,1231,1062,0.00,0,13727,13418,9,1174,1001,12.369,12.521,-4.28,-12.99,-11.30
13324,NGC1377,54.1629,-20.9020,212.7014,-51.9305,10.04,1768,1682,0.00,0,13324,13418,2,1728,1643,11.702,11.286,3.43,-15.74,-14.92
13330,NGC1369,54.1884,-36.2561,238.1000,-53.9581,9.45,1414,1270,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.97,-13.30,-11.92
13333,NGC1386,54.1925,-35.9992,237.6634,-53.9660,10.57,907,764,15.92,13,13418,13418,120,1502,1360,13.869,13.902,-1.67,-11.78,-10.58
13335,NGC1380A,54.1979,-34.7396,235.5219,-53.9938,9.96,1545,1407,19.86,13,13418,13418,120,1502,1360,13.869,13.902,-1.66,-14.70,-13.26
13342,ESO482-013,54.2244,-24.9128,219.0759,-52.9276,8.76,1839,1737,12.88,25,13419,13418,29,1681,1585,13.326,13.246,1.77,-14.82,-13.87
13343,PGC013343,54.2262,-35.3746,236.6008,-53.9592,9.19,1688,1547,19.41,13,13418,13418,120,1502,1360,13.869,13.902,-1.83,-14.36,-12.93
13344,NGC1387,54.2377,-35.5066,236.8246,-53.9462,10.82,1265,1124,19.14,13,13418,13418,120,1502,1360,13.869,13.902,-1.85,-14.16,-12.75
13354,NGC1380B,54.2874,-35.1951,236.2940,-53.9134,9.75,1740,1600,20.14,13,13418,13418,120,1502,1360,13.869,13.902,-1.84,-14.89,-13.44
13360,NGC1389,54.2988,-35.7460,237.2283,-53.8893,10.36,883,741,19.23,10,13418,13418,120,1502,1360,13.869,13.902,-1.94,-14.21,-12.81
13364,ESO249-008,54.3287,-43.5861,250.2848,-52.8846,8.74,1252,1084,0.00,0,13727,13418,9,1174,1001,12.369,12.521,-4.18,-13.00,-11.38
13368,NGC1385,54.3680,-24.5013,218.4606,-52.7084,10.48,1510,1409,9.55,18,13368,13368,1,1510,1409,12.064,,0.90,-6.92,-6.52
13369,ESO200-053,54.3757,-51.2514,262.1184,-50.5987,10.04,2337,2146,0.00,0,13369,13369,2,2320,2130,11.863,9.931,-10.28,-20.20,-17.15
13372,ESO200-054,54.3922,-51.1892,262.0213,-50.6120,9.88,2304,2113,0.00,0,13369,13369,2,2320,2130,11.863,9.931,-10.24,-20.17,-17.14
13377,NGC1383,54.4134,-18.3394,208.9468,-50.8641,10.17,1955,1879,35.32,23,13505,13505,29,1670,1589,13.364,13.724,5.59,-19.78,-19.09
13381,ESO482-017,54.4305,-22.9081,215.9476,-52.2612,9.05,1455,1360,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.41,-14.31,-13.58
13384,NGC1343,54.4567,72.5713,134.7387,13.6332,10.88,2215,2450,0.00,0,13384,13384,1,2215,2450,12.512,,31.71,7.49,2.30
13386,NGC1390,54.4674,-19.0083,209.9707,-51.0487,9.29,1207,1128,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.08,-19.13,-18.45
13390,PGC013390,54.4875,-44.0987,251.0700,-52.6605,8.03,1059,889,0.00,0,13727,13418,9,1174,1001,12.369,12.521,-4.27,-12.77,-11.20
13398,NGC1396,54.5273,-35.4399,236.7012,-53.7123,9.14,894,752,19.86,13,13418,13418,120,1502,1360,13.869,13.902,-1.91,-14.63,-13.29
13399,ESO358-042,54.5382,-34.5186,235.1443,-53.7150,9.32,1139,1000,20.51,13,13418,13418,120,1502,1360,13.869,13.902,-1.64,-15.11,-13.77
13404,ESO358-043,54.5568,-33.1272,232.7949,-53.6788,9.09,1389,1255,20.89,13,13418,13418,120,1502,1360,13.869,13.902,-1.17,-15.37,-14.10
13405,ESO358-044,54.5575,-37.2904,239.8190,-53.6039,8.45,1402,1254,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-2.30,-13.21,-11.93
13408,ESO482-018,54.5736,-23.4192,216.8099,-52.2657,9.47,1627,1530,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.25,-14.47,-13.77
13418,NGC1399,54.6212,-35.4506,236.7163,-53.6356,11.25,1425,1283,22.08,11,13418,13418,120,1502,1360,13.869,13.902,-2.13,-16.25,-14.80
13419,NGC1395,54.6237,-23.0275,216.2115,-52.1208,11.16,1636,1540,23.77,11,13419,13418,29,1681,1585,13.326,13.246,2.82,-17.07,-16.30
13425,NGC1393,54.6608,-18.4279,209.2086,-50.6758,10.25,2151,2074,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.59,-19.90,-19.36
13429,NGC1411,54.6872,-44.1007,251.0209,-52.5202,10.27,993,822,19.14,13,13727,13418,9,1174,1001,12.369,12.521,-4.67,-13.92,-12.28
13433,NGC1404,54.7163,-35.5942,236.9551,-53.5547,11.07,1873,1730,18.79,10,13418,13418,120,1502,1360,13.869,13.902,-1.86,-13.81,-12.60
13434,NGC1398,54.7171,-26.3379,221.5368,-52.7839,11.29,1297,1188,28.58,21,13434,13505,5,1691,1583,13.017,12.389,1.77,-20.94,-19.80
13449,PGC013449,54.8049,-35.3716,236.5780,-53.4875,8.46,839,696,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.64,-12.63,-11.57
13457,NGC1401,54.8411,-22.7247,215.8232,-51.8477,10.18,1495,1400,13.49,23,13419,13418,29,1681,1585,13.326,13.246,2.46,-14.24,-13.71
13458,NGC1406,54.8471,-31.3214,229.7850,-53.3358,10.03,1034,906,19.59,14,13458,13418,1,1034,906,11.664,,-0.49,-14.33,-13.35
13460,PGC013460,54.8402,-21.4144,213.7950,-51.4810,8.88,1589,1499,0.00,0,13460,13418,1,1589,1499,10.946,,2.92,-14.21,-13.75
13465,UGC02809,54.8877,19.7843,168.3911,-27.8872,8.80,1288,1370,0.00,0,13465,13465,1,1288,1370,10.905,,13.84,-7.58,-9.21
13470,NGC1400,54.8785,-18.6882,209.7066,-50.5731,10.82,530,451,23.99,13,13505,13505,29,1670,1589,13.364,13.724,4.62,-16.82,-16.47
13471,ESO548-063,54.8950,-20.0148,211.6929,-51.0016,9.19,2047,1962,0.00,0,13505,13505,29,1670,1589,13.364,13.724,4.79,-19.88,-19.37
13477,ESO482-027,54.9215,-23.8442,217.6101,-52.0624,8.27,1629,1529,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.09,-14.41,-13.85
13490,ESO548-064,55.0003,-19.4264,210.8633,-50.7155,9.56,1833,1750,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.01,-19.59,-19.20
13491,ESO548-065,55.0113,-19.3665,210.7796,-50.6858,8.82,1218,1136,0.00,0,13505,13505,29,1670,1589,13.364,13.724,4.89,-19.00,-18.64
13495,IC0343,55.0296,-18.4435,209.4248,-50.3536,9.72,1841,1762,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.48,-19.49,-19.20
13498,UGC02800,55.0097,71.4058,135.6085,12.8141,9.36,1176,1409,18.97,18,13498,13498,1,1176,1409,11.204,,18.49,4.12,1.03
13500,NGC1427A,55.0388,-35.6245,236.9953,-53.2919,9.44,2028,1884,10.86,21,13418,13418,120,1502,1360,13.869,13.902,-1.88,-13.75,-12.66
13501,PGC013501,55.0322,66.7129,138.5246,9.0953,10.03,1496,1721,18.28,25,13501,13501,1,1496,1721,11.663,,18.05,2.91,-0.04
13505,NGC1407,55.0494,-18.5804,209.6362,-50.3838,11.23,1779,1700,28.18,11,13505,13505,29,1670,1589,13.364,13.724,5.47,-19.69,-19.40
13511,ESO548-068,55.0800,-18.9315,210.1693,-50.4778,9.80,1693,1612,32.51,23,13505,13505,29,1670,1589,13.364,13.724,5.21,-19.38,-19.09
13512,NGC1405,55.0788,-15.5303,205.2726,-49.2118,9.38,1611,1544,0.00,0,13512,13512,1,1611,1544,11.212,,5.06,-14.12,-14.10
13520,NGC1412,55.1225,-26.8622,222.4965,-52.5245,10.08,1779,1667,0.00,0,13434,13505,5,1691,1583,13.017,12.389,1.52,-21.31,-20.36
13521,IC1986,55.1465,-45.3549,252.8904,-51.9139,8.77,1551,1376,0.00,0,13521,13418,1,1551,1376,10.890,,-4.88,-13.23,-11.74
13522,ESO548-069,55.1508,-21.5258,214.1011,-51.2371,8.66,1646,1555,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.89,-14.25,-13.92
13529,ESO482-032,55.1727,-26.7864,222.3873,-52.4666,8.90,1750,1638,0.00,0,13434,13505,5,1691,1583,13.017,12.389,1.56,-21.26,-20.35
13531,ESO548-070,55.1724,-22.2859,215.2768,-51.4339,9.41,1737,1642,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.64,-14.38,-14.01
13532,ESO482-031,55.1731,-22.6511,215.8412,-51.5328,9.02,1762,1666,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.52,-14.42,-14.03
13534,NGC1419,55.1756,-37.5109,240.1333,-53.0994,9.84,1561,1410,23.12,11,13418,13418,120,1502,1360,13.869,13.902,-3.07,-16.89,-15.49
13543,NGC1414,55.2381,-21.7139,214.4261,-51.2140,9.04,1689,1597,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.83,-14.28,-13.98
13544,NGC1415,55.2369,-22.5645,215.7328,-51.4527,10.61,1658,1562,22.91,14,13419,13418,29,1681,1585,13.326,13.246,2.88,-16.27,-15.87
