"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
4078762,6dFJ1207305-301156,181.8771,-30.1988,291.7711,31.7191,9.45,2534,2272,0.00,0,38411,37061,25,2108,1845,13.238,12.969,-16.91,12.41,-6.78
4078785,6dFJ0407070-240830,61.7792,-24.1417,220.4331,-46.0684,9.11,3398,3275,0.00,0,4078785,4078785,1,3398,3275,11.061,,3.66,-27.95,-33.35
4078786,6dFJ0357287-231048,59.3697,-23.1801,218.2290,-47.9491,8.27,1573,1461,0.00,0,4078786,13418,1,1573,1461,10.640,,2.07,-12.96,-14.40
4078787,6dFJ0514217-261736,78.5901,-26.2934,228.4025,-32.0018,9.06,2719,2537,0.00,0,4078787,4078787,1,2719,2537,11.033,,-0.52,-14.66,-30.48
4078810,6dFJ1331161-252718,202.8169,-25.4547,314.1386,36.5488,9.70,2398,2196,0.00,0,4078810,48258,1,2398,2196,11.420,,-23.48,17.48,0.60
4078827,6dFJ1202275-190603,180.6146,-19.1006,287.2174,42.2717,9.62,2509,2274,0.00,0,4078827,4078827,1,2509,2274,11.367,,-19.40,21.51,-8.96
4078829,6dFJ1258120-210246,194.5502,-21.0460,305.0487,41.7980,9.39,3073,2863,0.00,0,4078829,43296,1,3073,2863,11.220,,-27.80,25.96,-3.24
4078844,6dFJ0935216-134852,143.8399,-13.8144,247.3816,27.2513,7.39,796,541,0.00,0,4078844,4078844,1,796,541,10.199,,-2.19,3.95,-5.63
4078858,6dFJ2335182-034434,353.8259,-3.7429,81.7550,-60.3775,9.08,2210,2370,0.00,0,4078858,4078858,1,2210,2370,11.045,,8.82,-28.72,9.79
4078963,6dFJ0356012-203319,59.0049,-20.5552,214.3469,-47.5149,8.91,1558,1457,0.00,0,14084,13505,4,1685,1585,12.188,11.890,4.63,-20.11,-22.39
4079108,HIPASSJ1151-13,177.9734,-13.4131,281.4543,46.9604,8.77,2039,1818,0.00,0,4079108,4079108,1,2039,1818,10.892,,-13.40,18.68,-7.70
4079152,6dFJ1404447-245006,211.1862,-24.8350,323.3483,35.1137,8.30,2308,2132,0.00,0,50183,50183,3,2321,2144,11.679,9.346,-23.24,16.07,4.23
4079306,6dFJ2200399-430733,330.1664,-43.1258,356.6127,-52.1048,7.76,2313,2292,0.00,0,67817,67817,6,2401,2379,12.802,12.498,-18.29,-31.79,11.50
4079366,6dFJ0016419-312657,4.1746,-31.4492,1.1533,-81.2841,8.64,2246,2251,0.00,0,4079366,4079366,1,2246,2251,10.824,,-3.29,-29.83,-0.14
4079410,6dFJ0410498-272959,62.7073,-27.4998,225.4191,-46.0204,7.80,3584,3446,0.00,0,4079410,4079410,1,3584,3446,10.403,,1.08,-29.35,-35.33
4079620,6dFJ1833412-450057,278.4216,-45.0157,350.0538,-15.8926,9.43,3268,3193,0.00,0,4079620,4079620,1,3268,3193,11.248,,-34.46,-14.02,20.69
4079661,6dFJ1021539-333832,155.4745,-33.6423,270.4729,19.6397,9.12,2982,2681,0.00,0,30308,30308,76,2613,2310,13.763,13.889,-22.46,14.30,-22.56
4079713,6dFJ0646331-262850,101.6377,-26.4806,236.3799,-12.7269,9.09,1757,1515,0.00,0,19617,19617,28,2070,1827,13.535,13.504,-3.22,-2.38,-20.70
